CVE ID,Hash value,CWE ID,Software,Type of patch statements,Patch statement function,Critical variables,Vulnerability-triggered function,Vulnerability-triggered line numbers,Vulnerability-triggered statements,Type of vulnerability-triggered statements,List of functions from to-be-patched function to vulnerability-triggered function,Cross-function or not,Type of cross-function vulnerabilities,The number of cross-function layers
CVE-2014-9658,f70d9342e65cd2cb44e9f26b6d7edeedf191fc6c,CWE-125,freetype2,P-10;,tt_face_load_kern,"[""length""]",tt_face_load_kern,98,"[""p+= 2;""]",T-3;,tt_face_load_kern,No,None,1
CVE-2014-9659,2cdc4562f873237f1c77d43540537c7a721d3fd8,CWE-119,freetype2,"P-9;
P-10;
P-11;",cf2_interpT2CharString,"[""hintMask"", ""opStack""]",cf2_stack_getReal,189,"[""cf2_intToFixed(stack->buffer[idx].u.i);""]",T-2;,"cf2_interpT2CharString
cf2_doStems
cf2_stack_getReal",Yes,caller type,3
CVE-2014-9660,af8346172a7b573715134f7a51e6c5c60fa7f2ab,CWE-476,freetype2,"P-1;
P-3;
P-9;
P-11;",_bdf_parse_glyphs,"[""p"", ""flags""]",_bdf_parse_glyphs,1564,"[""p->flags&= ~_BDF_START;""]",T-14;,_bdf_parse_glyphs,No,None,1
CVE-2014-9662,5f201ab5c24cb69bc96b724fd66e739928d6c5e2,CWE-119,freetype2,"P-1;
P-5;
P-9;
P-11;","cf2_builder_lineTo
cf2_builder_cubeTo","[""builder"", ""params"", ""pt0"", ""x"", ""y""]",cff_builder_add_point,552,"[""outline->n_points++;""]",T-3;,"cf2_builder_cubeTo
cff_builder_start_point
cff_builder_add_point",Yes,caller type,3
CVE-2014-9663,9bd20b7304aae61de5d50ac359cf27132bafd4c1,CWE-119,freetype2,"P-10;
P-11;",tt_cmap4_validate,"[""length""]",tt_cmap4_validate,862,"[""num_segs= TT_NEXT_USHORT(p);""]",T-1;,tt_cmap4_validate,No,None,1
CVE-2014-9664,73be9f9ab67842cfbec36ee99e8d2301434c84ca,CWE-119,freetype2,"P-1;
P-9;
P-11;",parse_charstrings,"[""parser"", ""root"", ""cursor""]",parse_charstrings,1602,"[""if (* cur= == ' / ');""]",T-3;,parse_charstrings,No,None,1
CVE-2007-6151,eafe1aa37e6ec2d56f14732b5240c4dd09f0613a,CWE-119,linux,P-1;,isdn_ioctl,"[""iocts"", ""drvid""]",isdn_ioctl,"[1523, 1605, 1681]","[""if (!(strcmp(dev->drvid[i], iocts.drvid))) {;"", ""if (!(strcmp(dev->drvid[i], iocts.drvid))) {;"", ""if (!(strcmp(dev->drvid[i], iocts.drvid))) {;""]",T-1;,isdn_ioctl,No,None,1
CVE-2007-6761,0b29669c065f60501e7289e1950fa2a618962358,CWE-119,linux,"P-2;
P-4;","videobuf_vm_open
videobuf_vm_close
__videobuf_mmap_mapper","[""map""]",__videobuf_mmap_mapper,253,"[""memcpy(mem->vma, vma, sizeof (* vma));""]",T-1;,__videobuf_mmap_mapper,No,None,1
CVE-2008-3911,27df6f25ff218072e0e879a96beeb398a79cdbc8,CWE-119,linux,"P-1;
P-2;
P-6;
P-9;",proc_do_xprt,"[""len""]",proc_do_xprt,75,"[""if (__copy_to_user(buffer, tmpbuf, len));""]",T-1;,proc_do_xprt,No,None,1
CVE-2009-0787,8faece5f906725c10e7a1f6caf84452abadbdc7b,CWE-189,linux,"P-1;
P-2;
P-4;
P-5;
P-7;","ecryptfs_write_metadata_to_contents
ecryptfs_write_metadata_to_xattr
ecryptfs_write_metadata","[""virt""]",ecryptfs_write_lower,53,"[""octets_written= vfs_write(inode_info->lower_file, data, size, & inode_info->lower_file->f_pos);""]",T-1;,"ecryptfs_write_metadata
ecryptfs_write_metadata_to_contents
ecryptfs_write_lower",Yes,caller type,3
