cve_id,variable,cohort,tier,has_local_rejection,escaped_outside_vff,recovery_source,trigger_found,func_hit,exact_line,explicit_retry_used,rejection_count,rejection_kind,rejection_function,rejection_sink_line,rejection_sink_family,rejection_statement,gt_function,patch_functions,final_trigger_function,final_trigger_line,gt_line,pred_line,first_rejection_line_no,result_dir,log_path
CVE-2018-13300,par,Layer 1 soft reject,A,True,True,same_function_retry,True,True,True,False,7,soft_reject,avpriv_request_sample,408,unknown,"av_log(avc, AV_LOG_WARNING, "" is not implemented..",avpriv_request_sample,handle_eac3,avpriv_request_sample,408,408,408,34665,/users/azibaeir/Research/Autotrace/results/CVE-2018-13300,/users/azibaeir/Research/Autotrace/logs/CVE-2018-13300.log
CVE-2017-13005,rp,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,True,6,hard_reject,xid_map_enter,0,memory_read,xmep->proc = EXTRACT_32BITS(&rp->rm_call.cb_proc);,xid_map_enter,xid_map_enter,xid_map_enter,902,902,902,264,/users/azibaeir/Research/Autotrace/results/CVE-2017-13005,/users/azibaeir/Research/Autotrace/logs/CVE-2017-13005.log
CVE-2011-1771,private_data,Layer 1 soft reject,A,True,True,same_function_retry,True,True,True,False,5,soft_reject,cifs_close,287,memory_read,struct inode *inode = cifs_file->dentry->d_inode;,cifsFileInfo_put,cifs_close,cifsFileInfo_put,287,287,287,315,/users/azibaeir/Research/Autotrace/results/CVE-2011-1771,/users/azibaeir/Research/Autotrace/logs/CVE-2011-1771.log
CVE-2014-9663,length,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,5,soft_reject,tt_cmap4_validate,862,unknown,num_segs = TT_NEXT_USHORT( p );,tt_cmap4_validate,tt_cmap4_validate,tt_cmap4_validate,862,862,862,545,/users/azibaeir/Research/Autotrace/results/CVE-2014-9663,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9663.log
CVE-2016-10506,rpx,Layer 1 soft reject,A,True,True,outward_expansion,True,True,True,False,5,soft_reject,opj_pi_next_rpcl,372,memory_read,if (!((pi->y % (OPJ_INT32)(comp->dy << rpy) == 0),opj_pi_next_rpcl,opj_pi_next_rpcl; opj_pi_next_pcrl; opj_pi_next_cprl,opj_j2k_decode_tiles,372,372,372,379,/users/azibaeir/Research/Autotrace/results/CVE-2016-10506,/users/azibaeir/Research/Autotrace/logs/CVE-2016-10506.log
CVE-2008-3911,len,Layer 1 soft reject,A,True,True,same_function_retry,True,True,True,False,4,soft_reject,proc_do_xprt,75,memory_write,"if (__copy_to_user(buffer, tmpbuf, len))",proc_do_xprt,proc_do_xprt,proc_do_xprt,75,75,75,427,/users/azibaeir/Research/Autotrace/results/CVE-2008-3911,/users/azibaeir/Research/Autotrace/logs/CVE-2008-3911.log
CVE-2017-13005,cb_proc,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,True,4,hard_reject,xid_map_enter,0,memory_read,xmep->proc = EXTRACT_32BITS(&rp->rm_call.cb_proc);,xid_map_enter,xid_map_enter,xid_map_enter,902,902,902,320,/users/azibaeir/Research/Autotrace/results/CVE-2017-13005,/users/azibaeir/Research/Autotrace/logs/CVE-2017-13005.log
CVE-2017-7864,face,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,True,4,hard_reject,tt_size_reset,1222,memory_write,metrics->ascender = FT_PIX_ROUND( FT_MulFix( face-,tt_size_reset,tt_size_reset,tt_size_reset,1222,1222,1222,245,/users/azibaeir/Research/Autotrace/results/CVE-2017-7864,/users/azibaeir/Research/Autotrace/logs/CVE-2017-7864.log
CVE-2012-2100,s_log_groups_per_flex,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,3,soft_reject,ext4_fill_flex_info,2014,memory_write,groups_per_flex = 1 << sbi->s_log_groups_per_flex;,ext4_fill_flex_info,ext4_fill_flex_info,ext4_fill_flex_info,2014,2014,2014,272,/users/azibaeir/Research/Autotrace/results/CVE-2012-2100,/users/azibaeir/Research/Autotrace/logs/CVE-2012-2100.log
CVE-2014-9673,len,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,False,3,hard_reject,Mac_Read_POST_Resource,1669,arithmetic,pfb_len += temp + 6;,Mac_Read_POST_Resource,Mac_Read_POST_Resource,Mac_Read_POST_Resource,1669,1669,1669,376,/users/azibaeir/Research/Autotrace/results/CVE-2014-9673,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9673.log
